id	occurrences	char	shape_id
g601	54	微	637006110fcd9048
g602	54	健	e7a938a9b27a53cc
g603	54	登	4643879493ae76a0
g604	54	骨	b6e7e43535f9c408
g605	54	誤	045db6846365d7ec
g606	54	論	7adfe29be9e1192e
g607	52	並	85954f8babda33ff
g608	52	縁	62fbd01bbe0afcb2
g609	52	裸	d8ab74deee791168
g610	52	慢	4780cd0cbb7363d1
g611	52	号	d65879915491bb76
g612	52	溢	f4d853c5b2ef5716
g613	52	因	ec36d73778b21aea
g614	52	球	2f4d02113f2843ea
g615	52	塞	94766d16d60fb64f
g616	50	八	290b1aa990d40239
g617	50	症	8ab4c30e33bb674e
g618	50	模	4bc3da6244f5a296
g619	50	溜	ed8cbeb64921eca6
g620	50	派	d82e712d5073913f
g621	50	埋	7bb7dc444951b7c8
g622	50	盗	6be122d538603dc1
g623	48	斜	3df535d544c1264b
g624	48	快	34d82b4b470c9c43
g625	48	怪	adf99e34f47771d6
g626	48	籍	c2a183aec7730df3
g627	48	輝	15d2c0c9fe9bb1d1
g628	48	香	801a1fc704a1e456
g629	48	炭	70d9805fc3e40e9b
g630	48	激	2d0be1852d82d420
g631	48	渇	0b568817097c8f2d
g632	48	搭	7b5d69c0a763f03c
g633	48	髪	cd732032f28e0e70
g634	48	議	d76046b8050866ea
g635	48	殴	0c0c4f0ab46db470
g636	46	奥	3e50e074bec0cf99
g637	46	析	6c7298555f240916
g638	46	崩	905032f4c7accb59
g639	46	洗	6e92d52d2b1e2d9b
g640	46	康	29ef377c20fc8b24
g641	46	辞	3b6b41f246c310ef
g642	46	暴	6690713638524484
g643	46	脳	7297c075c5fa07ba
g644	46	寄	10c353fd1ca787fe
g645	46	阻	02e3ee692ad28acb
g646	44	功	c33532d627df4696
g647	44	倉	a437d46f248f3cd3
g648	44	父	f434c2835483d1d4
g649	44	複	70e15293a9e1cbcd
g650	44	告	1d7067336847f447
g651	44	福	d586672c7d4f660b
g652	44	鉱	85cf4a22b32f4782
g653	44	鋼	598f1ea3e799fc9e
g654	44	逆	ae677ad8df1fbd51
g655	44	泳	3f710eed2ac51b21
g656	44	勢	b47700254615cc15
g657	44	智	37a329ad0e02fee5
g658	44	”	96e79f5bff1d0c9e
g659	42	未	46c88ec142005efe
g660	42	老	fe524d4fe08bb4d4
g661	42	拷	84a0dcb3a06ea332
g662	42	汚	1f9c9a602f480943
g663	42	滅	3a136269217acd4c
g664	42	星	a36d79e501fb6b3a
g665	42	腰	c4e52cd00176d8ba
g666	40	申	c3404362fee0b0ea
g667	40	斉	997e55d05796c6e5
g668	40	衆	488a9345a564ea68
g669	40	律	b9b0f718ca7bc8bc
g670	40	伏	ac41550c5881165d
g671	40	劇	fec18755d27d0905
g672	40	頻	91983981d6e1f571
g673	40	紛	8200b3522b0589d6
g674	40	鼻	30aab3381b4c1abd
g675	40	緑	4add2eb609fb169a
g676	40	異	68f2ed3431786041
g677	40	黄	8295f8c11981ed32
g678	40	掃	0141d02ddf2ff990
g679	40	鍛	cec33d3afdcb7392
g680	40	尿	4f9cfded68490aaf
g681	40	詞	1c5c2fb9b1b7e413
g682	40	頑	acab2ef7cda6ae35
g683	40	覧	4fb727ecb9607b0e
g684	40	暮	c0396d66036f7e1b
g685	40	覆	a4484c0dd66ec704
g686	38	炎	c9ce046017a7e2dd
g687	38	偵	21dc6f52edd04471
g688	38	禁	867b83e1c8309f5c
g689	38	械	11757bf81928358d
g690	38	横	f3d01773a4d658bc
g691	38	粘	0643e1991be81ed6
g692	38	疎	3ec426017ac073bd
g693	38	夜	27ea5a01e536df69
g694	38	踏	bf6ab7c68871c36c
g695	38	訴	2196210c7b75a924
g696	38	脂	1f00a1a995806f86
g697	36	皮	34dc83c828c204f7
g698	36	企	ab679f27c38d47a1
g699	36	太	cc1d028696cd8ebb
g700	36	件	6a74d7d86088909c
g701	36	永	a2b30e2f2f5c7ff8
g702	36	養	da43b17cfcd9d9ca
g703	36	徴	5ca5524bc74dc714
g704	36	賞	a831a8ce00476e7f
g705	36	絵	3fd239c7f439fb42
g706	36	旋	20b64b3512dd38a4
g707	36	栄	ebecb6082bb6c659
g708	36	紫	ce979f7e605adc5f
g709	36	辺	9d6982643c07f3c4
g710	36	没	5650177e2c82185f
g711	36	塑	9e6d938ebff1de6b
g712	36	雰	03d252bb7b98e06b
g713	36	昆	04fd0958003dacc6
g714	36	貼	4b673000e7b28083
g715	36	列	f7ae7a621b5e86ae
g716	36	睡	892ec22b8a562673
g717	36	談	e92e4e6f4bf1f74c
g718	34	友	f04aff6372a9dd91
g719	34	休	7075c11c697ded77
g720	34	鬼	cd8d298c7fe4301a
